Codelist Code	Codelist Extensible	Codelist Name	Code	Submission Value	Name in Data	Value Key	ACTION
NULLFLAVOR	N	NULLFLAVOR	NI	NI	No information		
NULLFLAVOR	N	NULLFLAVOR	INV	INV	Invalid		
NULLFLAVOR	N	NULLFLAVOR	OTH	OTH	Other		
NULLFLAVOR	N	NULLFLAVOR	PINF	PINF	Positive infinity		
NULLFLAVOR	N	NULLFLAVOR	NINF	NINF	Negative infinity		
NULLFLAVOR	N	NULLFLAVOR	UNC	UNC	Unencoded		
NULLFLAVOR	N	NULLFLAVOR	DER	DER	Derived		
NULLFLAVOR	N	NULLFLAVOR	UNK	UNK	Unknown		
NULLFLAVOR	N	NULLFLAVOR	ASKU	ASKU	Asked but unknown		
NULLFLAVOR	N	NULLFLAVOR	NAV	NAV	Temporarily unavailable		
NULLFLAVOR	N	NULLFLAVOR	NASK	NASK	Not asked		
NULLFLAVOR	N	NULLFLAVOR	QS	QS	Sufficient quantity		
NULLFLAVOR	N	NULLFLAVOR	TRC	TRC	Trace		
NULLFLAVOR	N	NULLFLAVOR	MSK	MSK	Masked		
NULLFLAVOR	N	NULLFLAVOR	NA	NA	Not applicable		
